Episode,Score,Best,Total reward,End position
83,17.6758107285,21.3216459145,1484.7681012,"[ -2.99845349e-02   3.21066511e+01   7.31718382e+01   1.61987255e+00
   9.53450390e-04   0.00000000e+00]"
84,17.7948068325,21.3216459145,1494.76377393,"[  1.35267296e-02   4.52666732e+00   8.26656426e+01   3.48408938e-03
   6.28216340e+00   0.00000000e+00]"
85,17.6009476834,21.3216459145,1478.4796054,"[  2.28396561e-02  -3.28906348e+01   7.22191187e+01   5.10654311e+00
   6.28262715e+00   0.00000000e+00]"
86,17.7891662008,21.3216459145,1494.28996087,"[ -7.98092347e-03  -7.96077897e+00   8.14517020e+01   5.48292457e+00
   5.74720640e-04   0.00000000e+00]"
87,17.7979601089,21.3216459145,1495.02864915,"[  1.82112619e-02   9.33014634e-01   8.29004468e+01   5.74973654e+00
   6.28204834e+00   0.00000000e+00]"
88,17.7981361548,21.3216459145,1495.043437,"[ -2.87050045e-02   1.54100503e+00   8.28668745e+01   6.12483951e+00
   8.07115577e-04   0.00000000e+00]"
89,17.6820725983,21.3216459145,1485.29409825,"[ -1.33533417e-02   2.64854272e+01   7.63609132e+01   6.93130762e-01
   2.08917528e-04   0.00000000e+00]"
90,17.6625486136,21.3216459145,1483.65408355,"[  3.66182386e-03   2.83947030e+01   7.49192331e+01   1.24201005e+00
   6.28296882e+00   0.00000000e+00]"
91,17.8105289758,21.3216459145,1496.08443397,"[  1.78212018e-02   1.04045564e+00   8.39707045e+01   8.47152812e-01
   6.28253939e+00   0.00000000e+00]"
92,17.6725161032,21.3216459145,1484.49135267,"[ -5.46660316e-03   2.64034702e+01   7.69458180e+01   5.64177699e-01
   1.09801245e-05   0.00000000e+00]"
93,17.4998956936,21.3216459145,1469.99123826,"[ -1.83850254e-03   3.89345181e+01   6.83863848e+01   1.64220937e+00
   6.28307031e+00   0.00000000e+00]"
94,17.766475939,21.3216459145,1492.38397887,"[ -2.16950309e-02  -1.58456853e+01   8.00128730e+01   5.42829837e+00
   7.83675260e-04   0.00000000e+00]"
95,17.7749281406,21.3216459145,1493.09396381,"[ -2.88347541e-03   1.08864260e+01   8.20028156e+01   1.93529246e-01
   2.44047979e-04   0.00000000e+00]"
96,17.6248381086,21.3216459145,1480.48640112,"[ -3.15229949e-02  -3.05963411e+01   7.63326028e+01   5.95291031e+00
   8.91135192e-04   0.00000000e+00]"
97,17.6173392302,21.3216459145,1479.85649534,"[  1.16850575e-02   3.33374640e+01   7.19344495e+01   1.44894313e+00
   6.28274754e+00   0.00000000e+00]"
98,17.5291609419,21.3216459145,1472.44951912,"[  3.00893244e-02  -3.65450466e+01   7.16698879e+01   5.45838511e+00
   6.28168687e+00   0.00000000e+00]"
99,17.7321554382,21.3216459145,1489.50105681,"[ -2.28715524e-02   2.19257860e+01   7.81038157e+01   7.98348258e-01
   6.87900714e-04   0.00000000e+00]"
100,17.8049436582,21.3216459145,1495.61526729,"[  4.78078684e-03   6.33633394e+00   8.30489769e+01   1.11782978e+00
   6.28311805e+00   0.00000000e+00]"
101,17.7776568987,21.3216459145,1493.32317949,"[  2.47425734e-02  -1.09480619e+01   8.24167598e+01   6.23035872e+00
   6.28242362e+00   0.00000000e+00]"
102,17.7914383982,21.3216459145,1494.48082545,"[ -1.87567175e-02  -6.57153550e+00   8.23001911e+01   5.83361355e+00
   7.60719730e-04   0.00000000e+00]"
103,17.7976453398,21.3216459145,1495.00220854,"[  1.09868755e-02  -1.92111372e+00   8.27448724e+01   6.25415262e+00
   6.28263532e+00   0.00000000e+00]"
104,17.7991539905,21.3216459145,1495.1289352,"[  1.14374657e-03   2.21606473e+00   8.28340579e+01   5.97206814e+00
   6.28281044e+00   0.00000000e+00]"
105,17.5777039734,21.3216459145,1476.52713377,"[  9.62502385e-03   3.29999892e+01   7.58066682e+01   3.78883474e-01
   6.28268236e+00   0.00000000e+00]"
106,17.7834895224,21.3216459145,1493.81311988,"[  1.78775266e-03   1.84558374e+01   7.95737490e+01   9.78336966e-01
   6.28307221e+00   0.00000000e+00]"
107,17.7906906848,21.3216459145,1494.41801753,"[ -2.35844687e-02  -7.49870849e+00   8.25925475e+01   8.29301331e-02
   7.12753948e-04   0.00000000e+00]"
108,17.587067228,21.3216459145,1477.31364715,"[ -2.41635958e-02   3.43808908e+01   7.22575921e+01   5.07677428e-01
   1.04920713e-03   0.00000000e+00]"
109,17.4831930743,21.3216459145,1468.58821824,"[ -3.83000222e-02   3.89692273e+01   6.93705180e+01   9.43053006e-01
   1.00957802e-03   0.00000000e+00]"
